nohup: ignoring input
Processing: ../data/pubmed_baseline/csv/pubmed25n0149.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0150.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0151.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0152.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0153.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0154.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0155.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0156.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0157.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0158.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0159.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0160.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0161.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0162.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0163.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0164.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0165.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0166.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0167.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0168.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0169.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0170.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0171.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0172.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0173.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0174.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0175.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0176.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0177.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0178.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0179.csv (30000 records)
Processing: ../data/pubmed_baseline/csv/pubmed25n0180.csv (30000 records)
